look_id,look_name,collection_a,collection_b,relationship_type,source_page,evidence
look_005,Aspire,Forefront™,Parallel™ AT,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Forefront™,Pebble,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Forefront™,Statement™,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Instaflush™,Mastershower,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Instaflush™,Parallel™,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Instaflush™,Parallel™ AT,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Instaflush™,Pebble,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Instaflush™,Statement™,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Mastershower,Parallel™,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Mastershower,Parallel™ AT,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Mastershower,Pebble,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Mastershower,Statement™,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Parallel™,Parallel™ AT,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Parallel™,Pebble,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Parallel™,Statement™,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Parallel™ AT,Pebble,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Parallel™ AT,Statement™,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_005,Aspire,Pebble,Statement™,collection_cooccurrence,23,"Both collections appear among products in the ""Aspire"" look on page 23."
look_006,Aspire,Aleo+™ Aqua Turbo,Aleo™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,Aqua Turbo,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,Complementary™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,Elate®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,Forefront™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,Instaflush™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,Mastershower™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,ModernLife™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo+™ Aqua Turbo,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,Aqua Turbo,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,Complementary™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,Elate®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,Forefront™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,Instaflush™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,Mastershower™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,ModernLife™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aleo™,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aqua Turbo,Complementary™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aqua Turbo,Elate®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aqua Turbo,Forefront™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aqua Turbo,Instaflush™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aqua Turbo,Mastershower™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aqua Turbo,ModernLife™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aqua Turbo,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Aqua Turbo,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Complementary™,Elate®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Complementary™,Forefront™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Complementary™,Instaflush™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Complementary™,Mastershower™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Complementary™,ModernLife™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Complementary™,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Complementary™,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Elate®,Forefront™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Elate®,Instaflush™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Elate®,Mastershower™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Elate®,ModernLife™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Elate®,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Elate®,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Forefront™,Instaflush™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Forefront™,Mastershower™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Forefront™,ModernLife™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Forefront™,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Forefront™,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Instaflush™,Mastershower™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Instaflush™,ModernLife™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Instaflush™,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Instaflush™,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Mastershower™,ModernLife™,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Mastershower™,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Mastershower™,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,ModernLife™,Pebble,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,ModernLife™,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_006,Aspire,Pebble,Veil®,collection_cooccurrence,25,"Both collections appear among products in the ""Aspire"" look on page 25."
look_007,Aspire,Aleo+™,Aleo™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo+™,Aqua Turbo,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo+™,Complementary™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo+™,Elate®,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo+™,Instaflush™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo+™,Lynk™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo+™,Mastershower™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo+™,ModernLife™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo+™,Veil®,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo™,Aqua Turbo,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo™,Complementary™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo™,Elate®,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo™,Instaflush™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo™,Lynk™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo™,Mastershower™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo™,ModernLife™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aleo™,Veil®,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aqua Turbo,Complementary™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aqua Turbo,Elate®,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aqua Turbo,Instaflush™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aqua Turbo,Lynk™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aqua Turbo,Mastershower™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aqua Turbo,ModernLife™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Aqua Turbo,Veil®,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Complementary™,Elate®,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Complementary™,Instaflush™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Complementary™,Lynk™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Complementary™,Mastershower™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Complementary™,ModernLife™,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
look_007,Aspire,Complementary™,Veil®,collection_cooccurrence,27,"Both collections appear among products in the ""Aspire"" look on page 27."
