sku,product_name,collection,family_id,product_type,domain,category,subcategory,raw_description,raw_catalogue_text,mrp,currency,tax_included,price_note,finish_code,finish_name,colour_name,colour_family,appearance_notes,dimension_raw,width_mm,depth_mm,height_mm,diameter_mm,length_mm,min_width_mm,max_width_mm,min_depth_mm,max_depth_mm,min_height_mm,max_height_mm,dimension_type,trap_type,rough_in_mm,toilet_configuration,flush_type,seat_included,bidet_function,smart_features,basin_type,faucet_hole_count,mounting_type,overflow,material,control_type,faucet_type,drain_included,hand_shower,diverter,spout_type,touchless,sensor_type,shower_type,function_count,outlet_count,power_kw,steam_type,bowl_count,bowl_configuration,tap_hole_count,included_accessories,bath_type,installation_type,shape,hydrotherapy_features,included_components,required_components,order_with_components,compatible_skus,compatibility_notes,is_configurable,configuration_type,configuration_options,orientation,site_dependent,configuration_notes,catalogue_id,catalogue_name,catalogue_year,catalogue_edition,source_page,source_type,extraction_confidence,review_required,review_reason,duplicate_status,duplicate_group,reconciliation_status
EX28094IN-8-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-basin_faucet,basin_faucet,bathroom,vibrant_finishes,basin_faucet,Components® Single-control tall basin faucet with drain in matte black,,49400.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
EX28093IN-8-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-basin_faucet,basin_faucet,bathroom,vibrant_finishes,basin_faucet,Single-control basin faucet with drain in matte black,,39500.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
K-29310IN-4ND-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-wall_mount_basin,wall_mount_basin,bathroom,vibrant_finishes,wall_mount_basin,Single-control wall mount basin faucet trim + valve in matte black,,49400.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
K-25758IN-4ND-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-basin_faucet,basin_faucet,bathroom,vibrant_finishes,basin_faucet,ModernLife Edge™ Single-control tall basin faucet without drain in matte black,,46300.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
K-25757IN-4ND-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-basin_faucet,basin_faucet,bathroom,vibrant_finishes,basin_faucet,Single-control basin faucet without drain in matte black,,37000.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
K-25759IN-4ND-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-wall_mount_basin,wall_mount_basin,bathroom,vibrant_finishes,wall_mount_basin,Single-control wall mount basin faucet trim in matte black,,39200.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-5679IN-NA,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,unique,,clean
K-25761IN-9-BL,FAUCETS IN MATTE BLACK,FAUCETS IN MATTE BLACK,faucets-in-matte-black-shower_trim,shower_trim,bathroom,vibrant_finishes,shower_trim,Thermostatic recessed bath and shower Autosense 235+ trim in matte black,,25100.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K-20740IN-A-NA,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,134,catalogue,medium,False,,repeated_same_sku,K-25761IN-9-BL,clean
K-25764IN-BL,,,,bath_spout,bathroom,vibrant_finishes,bath_spout,Bath spout with diverter in matte black,,15400.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,135,catalogue,medium,False,,unique,,clean
K-25765IN-BL,,,,bath_spout,bathroom,vibrant_finishes,bath_spout,Bath spout without diverter in matte black,,13200.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,135,catalogue,medium,False,,unique,,clean
K-23475IN-4ND-BL,,,,basin_faucet,bathroom,vibrant_finishes,basin_faucet,Parallel Single-control tall basin faucet without drain in matte black,,30600.0,INR,True,,BL,matte black,,,,,,,,,,,,,,,,not_specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False,,kohler-india-pricebook-2026-june,KOHLER India Price Book 2026 June Edition,2026,June Edition,135,catalogue,medium,False,,unique,,clean
